config_name,run_number,window_start_s,window_end_s,label,controller_delay_mean_s,controller_delay_max_s,controller_delay_last_s,controller_packet_error_rate_mean,controller_packet_error_rate_max,controller_packet_error_rate_last,receiver_app0_packet_count,receiver_app0_seq_progress,receiver_app0_last_seq,receiver_app0_e2e_delay_mean_s,receiver_app0_e2e_delay_max_s,receiver_app0_throughput_mean_bps,receiver_app0_throughput_last_bps,receiver_app1_packet_count,receiver_app1_seq_progress,receiver_app1_last_seq,receiver_app1_e2e_delay_mean_s,receiver_app1_e2e_delay_max_s,receiver_app1_throughput_mean_bps,receiver_app1_throughput_last_bps,receiver_total_packet_count
MildLinear,0,45.0,46.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,35,0.007681469999999999,0.01518142,3723.6363636363635,0.0,4,4,135,0.0030863,0.01505854,3723.6363636363635,0.0,5
MildLinear,0,46.0,47.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,36,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,139,8.632e-05,0.00019704,3723.6363636363635,0.0,5
MildLinear,0,47.0,48.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,37,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,143,8.632e-05,0.00019704,3723.6363636363635,0.0,5
MildLinear,0,48.0,49.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,38,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,147,8.632e-05,0.00019704,3723.6363636363635,0.0,5
MildLinear,0,49.0,50.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,39,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,151,8.632e-05,0.00019704,3723.6363636363635,0.0,5
MildLinear,0,50.0,51.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,40,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,155,8.632e-05,0.00019704,3723.6363636363635,0.0,5
MildLinear,0,51.0,52.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,41,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,159,8.632e-05,0.00019704,3723.6363636363635,0.0,5
MildLinear,0,52.0,53.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,42,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,163,8.632e-05,0.00019704,3723.6363636363635,0.0,5
MildLinear,0,53.0,54.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,43,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,167,8.632e-05,0.00019704,3723.6363636363635,0.0,5
MildLinear,0,54.0,55.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,44,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,171,8.632e-05,0.00019704,3723.6363636363635,0.0,5
MildLinear,0,55.0,56.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,45,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,175,8.632e-05,0.00019704,3723.6363636363635,0.0,5
MildLinear,0,56.0,57.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,46,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,179,8.632e-05,0.00019704,3723.6363636363635,0.0,5
MildLinear,0,57.0,58.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,47,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,183,8.632e-05,0.00019704,3723.6363636363635,0.0,5
MildLinear,0,58.0,59.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,48,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,187,8.632e-05,0.00019704,3723.6363636363635,0.0,5
MildLinear,0,59.0,60.0,failed,0.015,0.015,0.015,0.03,0.03,0.03,1,1,49,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,191,8.632e-05,0.00019704,3723.6363636363635,0.0,5
StagedRealistic,0,0.0,1.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,0,0,,,,0.0,0.0,0,0,,,,0.0,0.0,0
StagedRealistic,0,1.0,2.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,0,0,,,,0.0,0.0,0,0,,,,0.0,0.0,0
StagedRealistic,0,2.0,3.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,0,0,,,,0.0,0.0,0,0,,,,0.0,0.0,0
StagedRealistic,0,3.0,4.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,0,0,,,,0.0,0.0,0,0,,,,0.0,0.0,0
StagedRealistic,0,4.0,5.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,0,0,,,,0.0,0.0,0,0,,,,0.0,0.0,0
StagedRealistic,0,5.0,6.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,0,0,,,,0.0,0.0,0,0,,,,0.0,0.0,0
StagedRealistic,0,6.0,7.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,0,0,,,,0.0,0.0,0,0,,,,0.0,0.0,0
StagedRealistic,0,7.0,8.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,0,0,,,,0.0,0.0,0,0,,,,0.0,0.0,0
StagedRealistic,0,8.0,9.0,normal,1e-07,1e-07,1e-07,0.0,0.0,0.0,0,0,,,,0.0,0.0,0,0,,,,0.0,0.0,0
